Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
5bae903e-8978-49e0-97d3-0b5efb94a261;17.02.2013 23:15;Running;;6.53;39:30:00;06:03;9.91;402;47;121;;;2013-02-17-231528.gpx
d4b7834e-bdc6-4cce-9327-013ebf4aeaaf;25.02.2016 23:29;Running;;3.41;20:38;06:03;9.92;191;21;143;;;2016-02-25-232902.gpx
e0a2b169-3078-4451-a127-8b6a12623ac7;25.11.2015 20:40;Running;;2.78;16:50;06:04;9.9;211;17;116;Käsh,;;2015-11-25-204045.gpx
0c99390b-5a36-4347-8e17-351d8d7b0a88;29.04.2013 01:11;Running;;5;30:18:00;06:04;9.9;315;45;124;;;2013-04-29-011126.gpx
b91bc47a-885d-40bc-8d0a-bd7164b008b1;18.10.2012 20:11;Running;;10.02;01:00:44;06:04;9.9;657;51;116;;;2012-10-18-201146.gpx
a15ba6bb-70b4-4255-b8b8-33dc87c2971a;20.09.2013 00:14;Running;;9.1;55:24:00;06:05;9.85;554;78;152;;;2013-09-20-001442.gpx
d82be2db-d7ef-45d9-ac87-2015f858093a;26.05.2013 02:20;Running;;5.58;33:58:00;06:05;9.86;333;51;112;;;2013-05-26-022056.gpx
cc8b73bc-46ff-4c3e-b401-2d06ab65f4cc;10.11.2012 20:19;Running;;16.02;01:37:27;06:05;9.86;1024;120;119;;;2012-11-10-201904.gpx
6b494a80-385c-43b3-a79f-f65b2797246a;16.02.2016 22:12;Running;;6.01;36:32:00;06:05;9.87;420;45;147;;;2016-02-16-221248.gpx
13934428-840c-4913-9488-764c064e7dde;24.07.2013 08:34;Running;;5.09;31:04:00;06:06;9.82;317;34;127;;;2013-07-24-083444.gpx
bf96cc97-8d89-433c-990d-02336708aefa;21.04.2016 19:42;Running;;5.02;30:37:00;06:06;9.83;359;43;113;Käsh,;;2016-04-21-194229.gpx
f772f0f3-b479-492b-b650-a49ecd6044d1;27.10.2014 21:42;Running;;3.16;19:17;06:06;9.83;212.3606642;26;160;;;2014-10-27-214211.gpx
f29de439-4c84-4142-b9d8-3813fc4c5dc5;16.04.2017 21:47;Running;;14.06;01:25:57;06:07;9.81;925;133;112;;;2017-04-16-214746.gpx
9254a816-784a-4482-bcba-65cd4ec15ff7;24.03.2016 14:46;Cycling;;54.01;05:30:28;06:07;9.81;2100;515;;;;2016-03-24-144634.gpx
fa8f861e-bc35-4de5-8e0f-e81de29a6103;15.07.2016 22:00;Running;;5.44;33:23:00;06:08;9.77;377;39;113;;;2016-07-15-220031.gpx
